ID,Competitor,Category,Description,Brand,Price,Discount,Regular Price,Grammage,Unit,Price per Kg,Regular Price per Kg,Discounted Price Difference,Product Link,Scraping Date,Var Price per Kg vs Overall Mean (%),Var Price per Kg vs Competitor Mean (%),Abs Diff Price per Kg vs Overall Mean,Abs Diff Price per Kg vs Competitor Mean
30,Migros,Rice,Organic long grain rice Black Thai,Mister Rice,3.75,No Discount,3.75,0.5,kg,7.5,7.5,0.0,https://www.migros.ch/en/product/104428500000,07/11/2024,-4.38,-10.35,-0.34,-0.87
31,Migros,Rice,Bio Jasminreis lose,Migros Bio,4.5,No Discount,4.5,1.0,kg,4.5,4.5,0.0,https://www.migros.ch/en/product/104405400000,07/11/2024,-42.63,-46.21,-3.34,-3.87
32,Migros,Rice,Bio Basmatireis lose,Migros Bio,6.0,No Discount,6.0,1.0,kg,6.0,6.0,0.0,https://www.migros.ch/en/product/104405500000,07/11/2024,-23.5,-28.28,-1.84,-2.37
33,Migros,Rice,Fairtrade Mister Ric Bio Jasmin Mix,Mister Rice,3.5,No Discount,3.5,0.5,kg,7.0,7.0,0.0,https://www.migros.ch/en/product/104412700000,07/11/2024,-10.75,-16.32,-0.84,-1.37
34,Migros,Rice,Whole Grain Basmati - Long Grain - Fragrant Rice,Mister Rice Bio,3.5,No Discount,3.5,0.5,kg,7.0,7.0,0.0,https://www.migros.ch/en/product/104412600000,07/11/2024,-10.75,-16.32,-0.84,-1.37
35,Migros,Rice,Beness. Reis Inte 250g,Riso Scotti,2.4,No Discount,2.4,0.25,kg,9.6,9.6,0.0,https://www.migros.ch/en/product/157270400000,07/11/2024,22.4,14.76,1.76,1.23
36,Migros,Rice,Beness. Reis rot 250g,Riso Scotti,2.4,No Discount,2.4,0.25,kg,9.6,9.6,0.0,https://www.migros.ch/en/product/157270300000,07/11/2024,22.4,14.76,1.76,1.23
37,Migros,Rice,Risotto With morels,Subito Carnaroli,4.3,No Discount,4.3,0.25,kg,17.2,17.2,0.0,https://www.migros.ch/en/product/157255500000,07/11/2024,119.3,105.6,9.36,8.83
38,Migros,Rice,Risotto with mushrooms Vegetarian,Buon Gusto Risotto,2.7,No Discount,2.7,0.25,kg,10.8,10.8,0.0,https://www.migros.ch/en/product/157256300000,07/11/2024,37.7,29.1,2.96,2.43
39,Migros,Rice,Risotto Milanese,M-Budget,1.85,No Discount,1.85,0.25,kg,7.4,7.4,0.0,https://www.migros.ch/en/product/157212700000,07/11/2024,-5.65,-11.54,-0.44,-0.97
40,Migros,Rice,Riso Carnaroli,Riso Scotti,5.5,No Discount,5.5,1.0,kg,5.5,5.5,0.0,https://www.migros.ch/en/product/104409400000,07/11/2024,-29.88,-34.25,-2.34,-2.87
41,Migros,Rice,Demeter Carnaroli Reis,Demeter,3.95,No Discount,3.95,0.5,kg,7.9,7.9,0.0,https://www.migros.ch/en/product/104450200000,07/11/2024,0.72,-5.57,0.06,-0.47
42,Migros,Rice,Bio Carnaroli lose,Migros Bio,5.5,No Discount,5.5,1.0,kg,5.5,5.5,0.0,https://www.migros.ch/en/product/104405200000,07/11/2024,-29.88,-34.25,-2.34,-2.87
43,Migros,Rice,Migros Bio Risotto mit Tomaten,Migros Bio,7.9,No Discount,7.9,0.73,kg,10.82,10.82,0.0,https://www.migros.ch/en/product/138183200000,07/11/2024,37.95,29.34,2.98,2.45
44,Migros,Rice,Risotto con Tartufo,Ori di Langa,8.9,No Discount,8.9,0.18,kg,50.86,50.86,0.0,https://www.migros.ch/en/product/104409600000,07/11/2024,548.45,507.97,43.02,42.49
45,Migros,Rice,Scotti Risotti cremosi,Scotti,3.5,No Discount,3.5,0.8,kg,4.38,4.38,0.0,https://www.migros.ch/en/product/104414100000,07/11/2024,-44.16,-47.64,-3.46,-3.99
46,Migros,Rice,Risotto rice,Mister Rice Bio,5.5,No Discount,5.5,1.0,kg,5.5,5.5,0.0,https://www.migros.ch/en/product/104404600000,07/11/2024,-29.88,-34.25,-2.34,-2.87
47,Migros,Rice,Wholemeal Rice,Mister Rice Bio,4.6,No Discount,4.6,1.0,kg,4.6,4.6,0.0,https://www.migros.ch/en/product/104425200000,07/11/2024,-41.35,-45.01,-3.24,-3.77
