ID,Competitor,Category,Product_Description,Brand,Regular_Price (CH),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CH),Regular_Price/Unit,Actual_Price/Unit
38,Migros,Rice,Risotto with mushrooms Vegetarian,Buon Gusto Risotto,2.7,0.25,kg,https://www.migros.ch/en/product/157256300000,07/11/2024,No Discount,2.7,10.8,10.8
39,Migros,Rice,Risotto Milanese,M-Budget,1.85,0.25,kg,https://www.migros.ch/en/product/157212700000,07/11/2024,No Discount,1.85,7.4,7.4
40,Migros,Rice,Riso Carnaroli,Riso Scotti,5.5,1.0,kg,https://www.migros.ch/en/product/104409400000,07/11/2024,No Discount,5.5,5.5,5.5
41,Migros,Rice,Demeter Carnaroli Reis,Demeter,3.95,0.5,kg,https://www.migros.ch/en/product/104450200000,07/11/2024,No Discount,3.95,7.9,7.9
42,Migros,Rice,Bio Carnaroli lose,Migros Bio,5.5,1.0,kg,https://www.migros.ch/en/product/104405200000,07/11/2024,No Discount,5.5,5.5,5.5
43,Migros,Rice,Migros Bio Risotto mit Tomaten,Migros Bio,7.9,0.73,kg,https://www.migros.ch/en/product/138183200000,07/11/2024,No Discount,7.9,10.821917808219178,10.82
44,Migros,Rice,Risotto con Tartufo,Ori di Langa,8.9,0.175,kg,https://www.migros.ch/en/product/104409600000,07/11/2024,No Discount,8.9,50.85714285714286,50.86
45,Migros,Rice,Scotti Risotti cremosi,Scotti,3.5,0.8,kg,https://www.migros.ch/en/product/104414100000,07/11/2024,No Discount,3.5,4.375,4.38
46,Migros,Rice,Risotto rice,Mister Rice Bio,5.5,1.0,kg,https://www.migros.ch/en/product/104404600000,07/11/2024,No Discount,5.5,5.5,5.5
47,Migros,Rice,Wholemeal Rice,Mister Rice Bio,4.6,1.0,kg,https://www.migros.ch/en/product/104425200000,07/11/2024,No Discount,4.6,4.6,4.6
48,Migros,Rice,Risotto Pomodoro e basilico,Da Emilio,3.4,0.25,kg,https://www.migros.ch/en/product/104446200000,07/11/2024,No Discount,3.4,13.6,13.6
49,Migros,Rice,Polenta Al funghi porcini,Da Emilio,3.4,0.25,kg,https://www.migros.ch/en/product/104446600000,07/11/2024,No Discount,3.4,13.6,13.6
50,Migros,Rice,Basmati rice,Demeter,3.8,0.5,kg,https://www.migros.ch/en/product/104450100000,07/11/2024,No Discount,3.8,7.6,7.6
51,Migros,Rice,Whole Grain Basmati - Long Grain - Fragrant Rice,Mister Rice Bio,3.0,0.5,kg,https://www.migros.ch/en/product/104413300000,07/11/2024,No Discount,3.0,6.0,6.0
52,Migros,Rice,Long grain wild rice,Mister Rice Bio,5.95,1.0,kg,https://www.migros.ch/en/product/104424800000,07/11/2024,No Discount,5.95,5.95,5.95
53,Migros,Rice,Bio Langkornreis lose,Migros Bio,3.5,1.0,kg,https://www.migros.ch/en/product/104405100000,07/11/2024,No Discount,3.5,3.5,3.5
54,Migros,Rice,Riso Insalate,Riso Scotti,4.2,1.0,kg,https://www.migros.ch/en/product/104409200000,07/11/2024,No Discount,4.2,4.2,4.2
55,Migros,Rice,Riso Arborio,Riso Scotti,5.0,1.0,kg,https://www.migros.ch/en/product/104409300000,07/11/2024,No Discount,5.0,5.0,5.0
56,Migros,Rice,Demeter Langkornreis Parboiled,Demeter,3.6,0.5,kg,https://www.migros.ch/en/product/104450500000,07/11/2024,No Discount,3.6,7.2,7.2
57,Migros,Rice,La Cuna Paëlla Reis,La Cuna,4.25,1.0,kg,https://www.migros.ch/en/product/158593300000,07/11/2024,No Discount,4.25,4.25,4.25
58,Migros,Rice,Riso Scotti Vener,Riso Scotti,4.2,0.5,kg,https://www.migros.ch/en/product/104409100000,07/11/2024,No Discount,4.2,8.4,8.4
