ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage
,lidl,Pasta Sauces,Sauce,Kania,1.75,g,https://sortiment.lidl.ch/de/sauce-5102344,2024-11-01,no discount,pro 265g | 100g = 0.67 CHF
,lidl,Pasta Sauces,Bratensauce Paste,Kania,2.49,g,https://sortiment.lidl.ch/de/bratensauce-paste-0201111,2024-11-01,no discount,pro 150g | 100g = 1.66 CHF
,lidl,Pasta Sauces,Tomatenketchup light,Kania,1.59,ml,https://sortiment.lidl.ch/de/tomatenketchup-light-0192435,2024-11-01,no discount,pro 500ml | 100ML = 0.32 CHF
,lidl,Pasta Sauces,Tomatenketchup,Kania,1.59,ml,https://sortiment.lidl.ch/de/tomatenketchup-0079337,2024-11-01,no discount,pro 500ml | 1L = 3.18 CHF
,lidl,Pasta Sauces,Flying Goose Sriracha Sauce,Flying Goose,3.45,ml,https://sortiment.lidl.ch/de/flying-goose-sriracha-sauce-7715217,2024-11-01,no discount,pro 455ml | LP 1l = 7.59 CHF
,lidl,Pasta Sauces,Kirschtomatensauce,Baresa,1.59,g,https://sortiment.lidl.ch/de/kirschtomatensauce-6015800,2024-11-01,no discount,pro 330g | 100g = 0.49 CHF
,lidl,Pasta Sauces,Heinz Sauce Andalouse,Heinz,5.09,ml,https://sortiment.lidl.ch/de/heinz-sauce-andalouse-0008980,2024-11-01,no discount,pro 400ml | 1L = 12.73 CHF
,lidl,Pasta Sauces,Kikkoman Sojasauce,Kikkoman,5.79,ml,https://sortiment.lidl.ch/de/kikkoman-sojasauce-0182509,2024-11-01,no discount,pro 500ml | 1L = 11.58 CHF
,lidl,Pasta Sauces,Tomatenketchup,Kania,1.19,g,https://sortiment.lidl.ch/de/tomatenketchup-6906368,2024-11-01,no discount,pro 1000g |
,lidl,Pasta Sauces,Veganes Pesto,Vemondo,1.59,g,https://sortiment.lidl.ch/de/veganes-pesto-0162808,2024-11-01,no discount,pro 190g | 100g = 0.84 CHF
,lidl,Pasta Sauces,Pastasauce,Combino,1.09,ml,https://sortiment.lidl.ch/de/pastasauce-0029787,2024-11-01,no discount,pro 400ml | 100g = 0.26 CHF
,lidl,Pasta Sauces,Barilla Pesto,Barilla,3.99,g,https://sortiment.lidl.ch/de/barilla-pesto-0002861,2024-11-01,no discount,"pro 190g, 200g | 100g = 2.10, 2.00 CHF"
,lidl,Pasta Sauces,Chinoisesaucen,Deluxe,1.49,g,https://sortiment.lidl.ch/de/chinoisesaucen-0001887,2024-11-01,no discount,pro 180g | 100g = 0.83 CHF
,lidl,Pasta Sauces,Thomy Sauce,Thomy,3.79,ml,https://sortiment.lidl.ch/de/thomy-sauce-0001868,2024-11-01,no discount,pro 250ml | 1L = 15.16 CHF
,lidl,Pasta Sauces,Barilla Arrabbiata Sauce,Barilla,2.99,g,https://sortiment.lidl.ch/de/barilla-arrabbiata-sauce-0001767,2024-11-01,no discount,pro 400g | 100g = 0.75 CHF
,lidl,Pasta Sauces,Barilla Napoletana Sauce,Barilla,2.99,g,https://sortiment.lidl.ch/de/barilla-napoletana-sauce-0001061,2024-11-01,no discount,pro 400g | 100g = 0.75 CHF
,lidl,Pasta Sauces,Barilla Basilico Sauce,Barilla,2.99,g,https://sortiment.lidl.ch/de/barilla-basilico-sauce-0001060,2024-11-01,no discount,pro 400g | 100g = 0.75 CHF
,lidl,Pasta Sauces,Bio Pastasauce,Combino,1.85,g,https://sortiment.lidl.ch/de/bio-pastasauce-0039124,2024-11-01,no discount,pro 350g | 100g = 0.53 CHF
,lidl,Pasta Sauces,Pesto,Italiamo,1.45,g,https://sortiment.lidl.ch/de/pesto-0011624,2024-11-01,no discount,pro 190g | 100g = 0.77 CHF
,lidl,Pasta Sauces,Heinz Feinkostsaucen,Heinz,2.69,ml,https://sortiment.lidl.ch/de/heinz-feinkostsaucen-0002968,2024-11-01,no discount,pro 220ml | 1L = 12.23 CHF
,lidl,Pasta Sauces,Barilla Bolognese/Ricotta Sauce,Barilla,3.99,g,https://sortiment.lidl.ch/de/barilla-bolognese-ricotta-sauce-0003353,2024-11-01,no discount,pro 400g | 100g = 1.00 CHF
