ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit
37,Migros,Pasta,Agnesi  linguine N°10,Agnesi,3.4,1.0,kg,https://www.migros.ch/en/product/104146800000,19/10/2024,no discount,3.4,3.4,3.4
38,Migros,Pasta,Demeter  fusilli,Demeter,3.5,0.5,kg,https://www.migros.ch/en/product/104164500000,19/10/2024,no discount,3.5,7.0,7.0
39,Migros,Pasta,Garofalo  sigarette,Garofalo,2.95,0.5,kg,https://www.migros.ch/en/product/104129000000,19/10/2024,no discount,2.95,5.9,5.9
40,Migros,Pasta,Agnesi  penne rigate N°19,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104146100000,19/10/2024,no discount,2.5,5.0,5.0
41,Migros,Pasta,Garofalo  gnoccho sardo  quinoa gluten free,Garofalo,3.5,0.4,kg,https://www.migros.ch/en/product/104129400000,19/10/2024,no discount,3.5,8.75,8.75
42,Migros,Pasta,Agnesi  fusilli N°78,Agnesi,2.5,0.5,kg,https://www.migros.ch/en/product/104137800000,19/10/2024,no discount,2.5,5.0,5.0
43,Migros,Pasta,Migros Bio  spaghetti  with eggs,Migros Bio,3.2,0.5,kg,https://www.migros.ch/en/product/104044500000,19/10/2024,no discount,3.2,6.4,6.4
44,Migros,Pasta,Alnatura Bio  spaghetti No.3,Alnatura Bio,1.5,0.5,kg,https://www.migros.ch/en/product/104161700000,19/10/2024,no discount,1.5,3.0,3.0
45,Migros,Pasta,M-Classic  spiral-nudeln  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104048100000,19/10/2024,16%,1.6,3.8,3.2
46,Migros,Pasta,M-Classic  swabian spätzle  with eggs,M-Classic,2.7,0.5,kg,https://www.migros.ch/en/product/104065600000,19/10/2024,11%,2.4,5.4,4.8
47,Migros,Pasta,Aha!  lasagne  gluten free,Aha!,2.45,0.25,kg,https://www.migros.ch/en/product/104168000000,19/10/2024,no discount,2.45,9.8,9.8
48,Migros,Pasta,Alnatura Bio  tortellini  with vegetables,Alnatura Bio,2.95,0.25,kg,https://www.migros.ch/en/product/104161800000,19/10/2024,no discount,2.95,11.8,11.8
49,Migros,Pasta,Migros Bio  spaghettini  wholemeal semolina,Migros Bio,2.25,0.5,kg,https://www.migros.ch/en/product/104131400000,19/10/2024,no discount,2.25,4.5,4.5
50,Migros,Pasta,Tradition IP-SUISSE  5-grain quadri  spelt,Tradition IP-SUISSE,3.95,0.5,kg,https://www.migros.ch/en/product/104115100000,19/10/2024,no discount,3.95,7.9,7.9
51,Migros,Pasta,Da Emilio  fregola sarda,Da Emilio,3.95,0.5,kg,https://www.migros.ch/en/product/104131200000,19/10/2024,no discount,3.95,7.9,7.9
52,Migros,Pasta,M-Classic  pasta letters  with eggs,M-Classic,2.2,0.5,kg,https://www.migros.ch/en/product/104075600000,19/10/2024,14%,1.9,4.4,3.8
53,Migros,Pasta,Agnesi  tagliolini,Agnesi,3.0,0.5,kg,https://www.migros.ch/en/product/104138200000,19/10/2024,no discount,3.0,6.0,6.0
54,Migros,Pasta,You  spaghetti  yellow lentils,You,2.6,0.25,kg,https://www.migros.ch/en/product/104105400000,19/10/2024,no discount,2.6,10.4,10.4
55,Migros,Pasta,Migros Bio  penne  wholemeal semolina,Migros Bio,2.25,0.5,kg,https://www.migros.ch/en/product/104131000000,19/10/2024,no discount,2.25,4.5,4.5
56,Migros,Pasta,M-Classic  schnäggli  with eggs,M-Classic,1.9,0.5,kg,https://www.migros.ch/en/product/104057100000,19/10/2024,16%,1.6,3.8,3.2
57,Migros,Pasta,Garofalo  fusillone,Garofalo,3.1,0.5,kg,https://www.migros.ch/en/product/104126600000,19/10/2024,no discount,3.1,6.2,6.2
58,Migros,Pasta,Migros Bio  macaroni  wholemeal semolina,Migros Bio,2.5,0.5,kg,https://www.migros.ch/en/product/104155800000,19/10/2024,no discount,2.5,5.0,5.0
59,Migros,Pasta,Garofalo Bio  radiatori  wholemeal,Garofalo Bio,3.1,0.5,kg,https://www.migros.ch/en/product/104127800000,19/10/2024,no discount,3.1,6.2,6.2
60,Migros,Pasta,Da Emilio  cannelloni,Da Emilio,3.95,0.5,kg,https://www.migros.ch/en/product/104134000000,19/10/2024,no discount,3.95,7.9,7.9
61,Migros,Pasta,Agnesi  spaghetti N°3,Agnesi,3.4,1.0,kg,https://www.migros.ch/en/product/104146700000,19/10/2024,no discount,3.4,3.4,3.4
62,Migros,Pasta,You  sedanini  red lentils,You,2.5,0.25,kg,https://www.migros.ch/en/product/104105100000,19/10/2024,no discount,2.5,10.0,10.0
63,Migros,Pasta,"Aha!  Spaghetti  Gluten free, No wilting, No egg",Aha!,2.35,0.5,kg,https://www.migros.ch/en/product/104168100000,19/10/2024,no discount,2.35,4.7,4.7
64,Migros,Pasta,Tradition IP-SUISSE  tagliatelle  garlic bear,Tradition IP-SUISSE,5.5,0.5,kg,https://www.migros.ch/en/product/104165800000,19/10/2024,no discount,5.5,11.0,11.0
65,Migros,Pasta,Tortelloni Ricotta mit Spinat o. Gluten,Le Veneziane,6.4,0.25,kg,https://www.migros.ch/en/product/104067600000,19/10/2024,no discount,6.4,25.6,25.6
66,Migros,Pasta,Di Farro Bio Spaghetti,Poggio del Farro,3.95,0.5,kg,https://www.migros.ch/en/product/104155000000,19/10/2024,no discount,3.95,7.9,7.9
67,Migros,Pasta,Bio AdR Stanserhörnli,Migros Bio,4.7,0.5,kg,https://www.migros.ch/en/product/104192200000,19/10/2024,no discount,4.7,9.4,9.4
68,Migros,Pasta,Demeter Urdinkel Penne,Demeter,5.2,0.4,kg,https://www.migros.ch/en/product/104164600000,19/10/2024,no discount,5.2,13.0,13.0
69,Migros,Pasta,Le Veneziane Spaghetti,Le Veneziane,2.6,0.25,kg,https://www.migros.ch/en/product/104166900000,19/10/2024,no discount,2.6,10.4,10.4
70,Migros,Pasta,Le Veneziane Penne,Le Veneziane,2.6,0.25,kg,https://www.migros.ch/en/product/104167000000,19/10/2024,no discount,2.6,10.4,10.4
71,Migros,Pasta,Gnocchi di patate ohne Gluten,Le Veneziane,4.3,0.5,kg,https://www.migros.ch/en/product/104179100000,19/10/2024,no discount,4.3,8.6,8.6
72,Migros,Pasta,PIZZOCCHERI VALTELLINESI,Bosco,3.5,0.5,kg,https://www.migros.ch/en/product/104182300000,19/10/2024,no discount,3.5,7.0,7.0
73,Migros,Pasta,Aus der Region Bio Älplermagronen,Migros Bio,4.7,0.5,kg,https://www.migros.ch/en/product/104192100000,19/10/2024,no discount,4.7,9.4,9.4
74,Migros,Pasta,Tradition IP-Suisse Ur-Dinkel Gnocchi,Tradition - Pasta,3.25,0.5,kg,https://www.migros.ch/en/product/104145900000,19/10/2024,no discount,3.25,6.5,6.5
75,Migros,Pasta,Di Farro Bio Penne,Poggio del Farro,3.95,0.5,kg,https://www.migros.ch/en/product/104155100000,19/10/2024,no discount,3.95,7.9,7.9
76,Migros,Pasta,Alnatura Dinkel Penne,Alnatura,2.2,0.5,kg,https://www.migros.ch/en/product/104165000000,19/10/2024,no discount,2.2,4.4,4.4
77,Migros,Pasta,Le Veneziane Eliche,Le Veneziane,2.6,0.25,kg,https://www.migros.ch/en/product/104167100000,19/10/2024,no discount,2.6,10.4,10.4
78,Migros,Pasta,Bio Penne Quinoa lose,Migros Bio,6.0,1.0,kg,https://www.migros.ch/en/product/104168600000,19/10/2024,no discount,6.0,6.0,6.0
79,Migros,Pasta,Tagliolini Pasta all'uvo con Tartufo,Ori di Langa,10.9,0.25,kg,https://www.migros.ch/en/product/104012500000,19/10/2024,no discount,10.9,43.6,43.6
80,Migros,Pasta,Garofalo Spaghetti ohne Gluten,Garofalo,3.5,0.4,kg,https://www.migros.ch/en/product/104129800000,19/10/2024,no discount,3.5,8.75,8.75
81,Migros,Pasta,Alnatura Dinkel Spaghetti,Alnatura,3.1,0.5,kg,https://www.migros.ch/en/product/104167700000,19/10/2024,no discount,3.1,6.2,6.2
1,Lidl,Pasta,Pasta Tricolore,Unknown,1.99,0.5,kg,https://sortiment.lidl.ch/de/pasta-tricolore-6011527,21/10/2024,no discount,1.99,3.98,3.98
2,Lidl,Pasta,Pasta trafilata al bronzo,Combino,1.19,0.5,kg,https://sortiment.lidl.ch/de/pasta-trafilata-al-bronzo-0138846,21/10/2024,no discount,1.19,2.38,2.38
3,Lidl,Pasta,Pasta trafilata al bronzo,Combino,1.19,0.5,kg,https://sortiment.lidl.ch/de/pasta-trafilata-al-bronzo-0137930,21/10/2024,no discount,1.19,2.38,2.38
4,Lidl,Pasta,Bio Kinderpasta,Combino,1.49,0.5,kg,https://sortiment.lidl.ch/de/bio-kinderpasta-0120259,21/10/2024,no discount,1.49,2.98,2.98
5,Lidl,Pasta,Glasnudeln,Combino,0.99,0.1,kg,https://sortiment.lidl.ch/de/glasnudeln-0089804,21/10/2024,no discount,0.99,9.9,9.9
6,Lidl,Pasta,Reisnudeln,Combino,1.59,0.2,kg,https://sortiment.lidl.ch/de/reisnudeln-0149146,21/10/2024,no discount,1.59,7.95,7.95
7,Lidl,Pasta,Hörnli,Combino,1.39,1.0,kg,https://sortiment.lidl.ch/de/hoernli-0142042,21/10/2024,no discount,1.39,1.39,1.39
8,Lidl,Pasta,Spaghetti,Combino,1.39,1.0,kg,https://sortiment.lidl.ch/de/spaghetti-0027325,21/10/2024,no discount,1.39,1.39,1.39
