ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit,Distance_average_price
50,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Napoli,Salsa,1.55,L,https://www.migros.ch//de/product/153224200000,2024-11-01,no discount,0.25,1.55,6.2,6.2,-58.3%
51,Mirgos,Pasta Sauces,Agnesi Tomatensauce Basilico,Agnesi,2.95,Kg,https://www.migros.ch//de/product/153221700000,2024-11-01,no discount,0.4,2.95,7.375,7.375,-50.4%
52,Mirgos,Pasta Sauces,Agnesi Tomatensauce mit Gemüse,Agnesi,4.4,Kg,https://www.migros.ch//de/product/153222000000,2024-11-01,no discount,0.4,4.4,11.0,11.0,-26.02%
53,Mirgos,Pasta Sauces,Agnesi Pesto alla Genovese,Agnesi,3.9,Kg,https://www.migros.ch//de/product/153225800000,2024-11-01,no discount,0.185,3.9,21.081,21.081,41.78%
54,Mirgos,Pasta Sauces,Demeter Tomatensauce basilico,Demeter,4.5,Kg,https://www.migros.ch//de/product/153211700000,2024-11-01,no discount,0.34,4.5,13.235,13.235,-10.99%
55,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Basilikum und Olivenöl,Salsa,1.35,L,https://www.migros.ch//de/product/153224300000,2024-11-01,no discount,0.25,1.35,5.4,5.4,-63.68%
56,Mirgos,Pasta Sauces,Sélection Pesto Sauce Limone,Sélection,4.95,Kg,https://www.migros.ch//de/product/153236800000,2024-11-01,no discount,0.13,4.95,38.077,38.077,156.09%
57,Mirgos,Pasta Sauces,Demeter Tomatensauce arrabbiata,Demeter,4.5,Kg,https://www.migros.ch//de/product/153211800000,2024-11-01,no discount,0.34,4.5,13.235,13.235,-10.99%
58,Mirgos,Pasta Sauces,Agnesi Tomatensauce Bolognese,Agnesi,4.0,Kg,https://www.migros.ch//de/product/153221800000,2024-11-01,no discount,0.4,4.0,10.0,10.0,-32.74%
59,Mirgos,Pasta Sauces,Sélection Pesto con basilico Genovese D.O.P,Sélection,4.95,Kg,https://www.migros.ch//de/product/153236500000,2024-11-01,no discount,0.09,4.95,55.0,55.0,269.91%
60,Mirgos,Pasta Sauces,Agnesi Pesto Alla Calabrese,Agnesi,3.9,Kg,https://www.migros.ch//de/product/153223400000,2024-11-01,no discount,0.185,3.9,21.081,21.081,41.78%
61,Mirgos,Pasta Sauces,Alnatura Pesto Basilico,Alnatura,2.7,Kg,https://www.migros.ch//de/product/153270300000,2024-11-01,no discount,0.13,2.7,20.769,20.769,39.68%
62,Mirgos,Pasta Sauces,Agnesi Tomatensauce Napoletana,Agnesi,2.95,Kg,https://www.migros.ch//de/product/153222300000,2024-11-01,no discount,0.4,2.95,7.375,7.375,-50.4%
63,Mirgos,Pasta Sauces,Migros Bio Pesto mit grilliertem Gemüse,Migros,3.95,Kg,https://www.migros.ch//de/product/153210500000,2024-11-01,no discount,0.13,3.95,30.385,30.385,104.36%
64,Mirgos,Pasta Sauces,Alnatura Pesto Arrabbiata,Alnatura,3.7,Kg,https://www.migros.ch//de/product/153270200000,2024-11-01,no discount,0.13,3.7,28.462,28.462,91.42%
65,Mirgos,Pasta Sauces,Alnatura Pesto Ricotta,Alnatura,3.7,Kg,https://www.migros.ch//de/product/153271200000,2024-11-01,no discount,0.14,3.7,26.429,26.429,77.75%
66,Mirgos,Pasta Sauces,Agnesi Pesto Rosso,Agnesi,3.7,Kg,https://www.migros.ch//de/product/153223300000,2024-11-01,no discount,0.185,3.7,20.0,20.0,34.51%
67,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Bolognese,Salsa,1.95,L,https://www.migros.ch//de/product/153224800000,2024-11-01,no discount,0.25,1.95,7.8,7.8,-47.54%
68,Mirgos,Pasta Sauces,Alnatura Sugo Basilico,Alnatura,2.25,Kg,https://www.migros.ch//de/product/153270500000,2024-11-01,no discount,0.34,2.25,6.618,6.618,-55.49%
69,Mirgos,Pasta Sauces,M-Budget Pesto alla genovese,M-Budget,1.6,Kg,https://www.migros.ch//de/product/153236600000,2024-11-01,no discount,0.19,1.6,8.421,8.421,-43.36%
70,Mirgos,Pasta Sauces,Garofalo Sauce fur Pasta Pesto alla Genovese,Garofalo,4.1,Kg,https://www.migros.ch//de/product/153236100000,2024-11-01,no discount,0.18,4.1,22.778,22.778,53.19%
71,Mirgos,Pasta Sauces,Demeter pesto al basilico mit Knoblauch,Demeter,4.1,Kg,https://www.migros.ch//de/product/153211600000,2024-11-01,no discount,0.13,4.1,31.538,31.538,112.11%
72,Mirgos,Pasta Sauces,Salsa all' Italiana Tomatensauce Arrabbiata,Salsa,1.35,L,https://www.migros.ch//de/product/153224100000,2024-11-01,no discount,0.25,1.35,5.4,5.4,-63.68%
73,Mirgos,Pasta Sauces,Alnatura Sugo Toscano,Alnatura,2.9,Kg,https://www.migros.ch//de/product/153270700000,2024-11-01,no discount,0.34,2.9,8.529,8.529,-42.64%
